rubro,rubroCIIU,macrorubroACHS
TRANSP.NO CLASIFICADO EN OTRA,H,Transporte
FABRICACION DE PROD. METALICOS,C,Minería
SERVICIOS MEDICOS Y SANITARIOS,Q,Salud
INSTRUCCION PUBLICA,P,Educación
SERVICIOS GUBERNAMENTALES,O,Gubernamental
CONSTRUCCION,F,Construcción
AGRICULTURA Y GANADERIA,A,Agrícola
COMERCIO AL POR MAYOR   (1),G,Comercio
COMERCIO AL POR MENOR   (1),G,Comercio
TRANSP.DE PASAJEROS POR CARRET,H,Transporte
LUZ Y ENERGIA ELECTRICA,D,Energía
RESTAURANTES-CAFES- Y OTROS ES,I,No asignado
SERVICIOS JURIDICOS,M,No asignado
BANCOS Y OTROS ESTABLECIMIENTO,K,Financiero
SEGUROS,K,Financiero
ASOCIACIONES COMERCIALES- PROF,S,No asignado
SERVICIOS SANITARIOS,E,No asignado
INSTITUCIONES DE ASISTENCIA SO,Q,Salud
ARTICULOS CONFECC. DE MAT. TEX,C,Industrial
ASERRADEROS- TALLERES DE ACEPI,C,Industrial
SERVICIOS PRESTADOS A EMPRESAS,N,No asignado
TRANSP.CARR.NO CLASIF.EN OTRA,H,Transporte
SERVICIOS DE ESPARCIMIENTOS- E,R,No asignado
IMPRENTAS-EDITORIALES E IND.CO,C,Industrial
CONSTRUCCION DE MAQUINARIA. EX,C,Industrial
SERVICIOS CONEXOS CON EL TRANS,H,Transporte
SERVICIOS PRESTADOS AL PUBLICO,S,No asignado
SERVICIOS AGRICOLAS,A,Agrícola
PRODUCCION- DISTRIBUCION Y EXH,J,No asignado
BIENES INMUEBLES,L,No asignado
ENVASE Y CONSERVACION DE PESCA,C,Acuícola
INDUSTRIAS ALIMENTICIAS DIVERS,C,Industrial
DESTILACION- RECTIFICACION Y M,C,Industrial
ENVASE Y CONSERVACION DE FRUTA,C,Industrial
INDUSTRIAS VINICOLAS,C,Industrial
PESCA EN AGUAS INTERIORES,A,Pesca
PESCA DE ALTURA Y COSTERA- SIN,A,Pesca
LAVANDERIA Y SERVICIOS DE LAVA,S,No asignado
SERVICIOS PERSONALES NO CLASIF,S,No asignado
EXTRACCION DE MADERA,A,Forestal
FABRICACION DE PRODUCTOS QUIMI,C,Industrial
CONTABILIDAD- AUDITORIA Y TENE,M,No asignado
FABRICACION DE PROD. MINERALES,C,Industrial
MANUFACTURA DE PRODUCTOS DE MO,C,Industrial
MATANZA DE GANADO- PREPARACION,C,Industrial
INDUSTRIAS BASICAS DE METALES,C,Industrial
HILADO- TEJIDO Y ACABADO DE TE,C,Industrial
